text,text_clean,rating,sentiment
Barang sesuai pesanan dan cepat sampai,barang sesuai pesanan dan cepat sampai,5,Positive
Barang bagus harga murah,barang bagus harga murah,5,Positive
Paket rapi...mantap....cepat....sampe ke tujuan,paket rapi mantap cepat sampe ke tujuan,5,Positive
ya saya puas dgn barangnya,ya saya puas dgn barangnya,5,Positive
Responya luar biasa b mantap,responya luar biasa b mantap,5,Positive
"seller top, pengiriman cepat barang oke",seller top pengiriman cepat barang oke,5,Positive
pengiriman cepat seller top,pengiriman cepat seller top,5,Positive
Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,produk sesuai dengan spec di web dan respon seller sangat cepat thankyou,5,Positive
"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",respon super cepat pengiriman cepat barang bagus sesuai deskripsi penjual thx gan,5,Positive
"Barang mantap, pelayanan cepat",barang mantap pelayanan cepat,5,Positive
"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",sippp sesuai pic dscrbs cuma blum dicoba,5,Positive
Sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur.  Saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer. Untuk kualitas barang seperinya bagus walau saya belum coba.  Terima kasih,sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer untuk kualitas barang seperinya bagus walau saya belum coba terima kasih,3,Neutral
Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,barang sesuai deskripsi respon dan proses cepat terima kasih,5,Positive
Mantaaaaaaaappp..........,mantaaaaaaaappp,5,Positive
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5,Positive
josss pokok e bisa buat langganan,josss pokok e bisa buat langganan,5,Positive
"berfungsi dengan baik, normal",berfungsi dengan baik normal,5,Positive
"Cara Memberikan Nilai Reputasi ke Penjual

Untuk dapat memberikan nilai reputasi ke penjual, Anda dapat melakukan langkah-langkah berikut ini:",cara memberikan nilai reputasi ke penjual untuk dapat memberikan nilai reputasi ke penjual anda dapat melakukan langkah langkah berikut ini,5,Positive
Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,barang sesuai dengan deskripsi pengiriman cepat gak pake lama barang bagus mantap dahh pokoknya thanks gan,5,Positive
Sesuai dengan deskripsi,sesuai dengan deskripsi,5,Positive
"bagus,  packing aman pake bublewrap.  ndak ada yang patah",bagus packing aman pake bublewrap ndak ada yang patah,5,Positive
Barang sesuai deskripsi,barang sesuai deskripsi,5,Positive
cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,5,Positive
barang sudah sampai sesuai pesanan .,barang sudah sampai sesuai pesanan,5,Positive
Thanksssssssssssssss,thanksssssssssssssss,3,Neutral
Barang bagus sesuai info fast response,barang bagus sesuai info fast response,4,Positive
"barang ok....
pengriman cepet....",barang ok pengriman cepet,5,Positive
barang sudah sy terima gan thanks,barang sudah sy terima gan thanks,4,Positive
paket telah diterima baik.. Terima kasih,paket telah diterima baik terima kasih,5,Positive
"Barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",barang bagus ga kecewa tapi kurang banyak nanti order lagi dah,5,Positive
"barang sudah di terima, terima kasih ....",barang sudah di terima terima kasih,4,Positive
Barang sudah diterima .........,barang sudah diterima,4,Positive
sip. udah sampe beberapa menit yg lalu. oke sesuai pesanan dan gambar. trimakasih kerjasamanya.,sip udah sampe beberapa menit yg lalu oke sesuai pesanan dan gambar trimakasih kerjasamanya,5,Positive
sesuai deskripsi barangnya,sesuai deskripsi barangnya,5,Positive
Produk sesuai pesanan tp blm dcoba,produk sesuai pesanan tp blm dcoba,4,Positive
Proses cepat dan mantap,proses cepat dan mantap,5,Positive
sesuai deskripsi barangnya,sesuai deskripsi barangnya,5,Positive
Bagus sesuai dgn deskripsi thnks.,bagus sesuai dgn deskripsi thnks,5,Positive
Produk sesuai gambar dan deskripsi. Produknya bagus dan harganya jg bagus. Recommended produk,produk sesuai gambar dan deskripsi produknya bagus dan harganya jg bagus recommended produk,5,Positive
seller is good. produknya mantap. 5 stars ya,seller is good produknya mantap stars ya,5,Positive
"Produk bagus, sesuai deskripsi, packing rapi, pengiriman cepat, hanya kurirnya yg agak telat.. thanks..",produk bagus sesuai deskripsi packing rapi pengiriman cepat hanya kurirnya yg agak telat thanks,5,Positive
"Mahmurah mantap... Barang sdh sampe,, thanks sukses selalu",mahmurah mantap barang sdh sampe thanks sukses selalu,5,Positive
Produk diterima utuh tersegel.. semoga awet,produk diterima utuh tersegel semoga awet,5,Positive
"Sesuai order, pengiriman cepat, respon cepat",sesuai order pengiriman cepat respon cepat,4,Positive
Respon dan proses dr penjual cepat. Barang sdh diterima stlh 2 hari. Kualitas barang bagus. Recommended seller. Thanks,respon dan proses dr penjual cepat barang sdh diterima stlh hari kualitas barang bagus recommended seller thanks,5,Positive
Mantap. Sesuai deskripsi. Trimakasih semoga barokah jualannya.,mantap sesuai deskripsi trimakasih semoga barokah jualannya,5,Positive
"Makasih gan, barang sesuai",makasih gan barang sesuai,5,Positive
Pengiriman cepat. Fast respon. Barang sesuai. Trims,pengiriman cepat fast respon barang sesuai trims,5,Positive
"Produknya bagus, berkualitas, dan berfungsi dg baik",produknya bagus berkualitas dan berfungsi dg baik,5,Positive
brg diterima dg baik&amp; lengkap,brg diterima dg baik amp lengkap,5,Positive
Great Product &amp; Great Seller,great product amp great seller,5,Positive
"Steplesnya sedikit lebih kecil dari staples khusu mollar, saat ditembakan keluar 2 dan jadi menumpuk yang keluar. Rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar",steplesnya sedikit lebih kecil dari staples khusu mollar saat ditembakan keluar dan jadi menumpuk yang keluar rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar,4,Positive
Sesuai dengan pesanan..............,sesuai dengan pesanan,4,Positive
Produk berfungsi dgn baik,produk berfungsi dgn baik,5,Positive
"produk sesuai dengan deskripsi, tapi belum dicoba",produk sesuai dengan deskripsi tapi belum dicoba,5,Positive
Barang sesuai diskripsi dan layanan cepat,barang sesuai diskripsi dan layanan cepat,5,Positive
"Sudah diterima, terima kasih",sudah diterima terima kasih,5,Positive
Pesanan gx sesuai dgn yg d gambar,pesanan gx sesuai dgn yg d gambar,2,Negative
Sudah diterima dengan baik dan bisa di pakai.,sudah diterima dengan baik dan bisa di pakai,5,Positive
Packing rapi dan respon cepat... recommended..!,packing rapi dan respon cepat recommended,4,Positive
Barang sudah diterima dg baik. Thx,barang sudah diterima dg baik thx,4,Positive
"Barang bagus, kualitas sesuai harga",barang bagus kualitas sesuai harga,3,Neutral
Terima kasih..........,terima kasih,5,Positive
"Pengiriman sangat cepat, Barang sesuai iklan, berfungsi baik, 👍👍👍",pengiriman sangat cepat barang sesuai iklan berfungsi baik,5,Positive
kwalitas bagus. sesuai dengan yang ditawarkan. respons cepat,kwalitas bagus sesuai dengan yang ditawarkan respons cepat,5,Positive
Sesuai yg diharapkan. Terimakasih.,sesuai yg diharapkan terimakasih,5,Positive
"Barangnya bagus, pelayanan toko ini semuanya sangat memuaskan...recomend.",barangnya bagus pelayanan toko ini semuanya sangat memuaskan recomend,5,Positive
suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah Diiiiteeeerimaaaaa,suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah diiiiteeeerimaaaaa,4,Positive
